State,Year,Brand,Count,Percentage
Dadra and Nagar Haveli and Daman and Diu,2020,Samsung,177388,0.6909482505281186
Dadra and Nagar Haveli and Daman and Diu,2020,Vivo,240921,0.9344840400727343
Dadra and Nagar Haveli and Daman and Diu,2020,Xiaomi,241682,0.9424100212024017
Dadra and Nagar Haveli and Daman and Diu,2021,Apple,26401,0.073374565497095
Dadra and Nagar Haveli and Daman and Diu,2021,Huawei,14490,0.04203485738453146
Dadra and Nagar Haveli and Daman and Diu,2021,Infinix,10752,0.02781422380948608
Dadra and Nagar Haveli and Daman and Diu,2021,Lenovo,8811,0.02650388588710601
Dadra and Nagar Haveli and Daman and Diu,2021,Motorola,19297,0.0540681962644739
Dadra and Nagar Haveli and Daman and Diu,2021,OnePlus,5332,0.013364647849549958
Dadra and Nagar Haveli and Daman and Diu,2021,Oppo,180039,0.5009317301494631
Dadra and Nagar Haveli and Daman and Diu,2021,Others,109761,0.3070964631006238
Dadra and Nagar Haveli and Daman and Diu,2021,Realme,124018,0.3422874291158575
Dadra and Nagar Haveli and Daman and Diu,2021,Samsung,231621,0.6465431495173859
Dadra and Nagar Haveli and Daman and Diu,2021,Tecno,20760,0.05699834619303157
Dadra and Nagar Haveli and Daman and Diu,2021,Vivo,366626,1.0187504700646537
Dadra and Nagar Haveli and Daman and Diu,2021,Xiaomi,319319,0.8902320351667422
Dadra and Nagar Haveli and Daman and Diu,2022,Apple,8300,0.019549190946133735
Dadra and Nagar Haveli and Daman and Diu,2022,Infinix,6909,0.01627293496949855
Dadra and Nagar Haveli and Daman and Diu,2022,Motorola,4850,0.011423322420331158
Dadra and Nagar Haveli and Daman and Diu,2022,OnePlus,5945,0.014002402430694585
Dadra and Nagar Haveli and Daman and Diu,2022,Oppo,53652,0.12636785453517677
Dadra and Nagar Haveli and Daman and Diu,2022,Others,27296,0.06429092964646584
Dadra and Nagar Haveli and Daman and Diu,2022,Realme,44772,0.10545257554702404
Dadra and Nagar Haveli and Daman and Diu,2022,Samsung,63414,0.1493605294768825
Dadra and Nagar Haveli and Daman and Diu,2022,Tecno,8287,0.019518571731398825
Dadra and Nagar Haveli and Daman and Diu,2022,Vivo,111699,0.2630873589749629
Dadra and Nagar Haveli and Daman and Diu,2022,Xiaomi,89446,0.2106743293214311
Delhi,2018,Apple,813790,0.2533248143959888
Delhi,2018,Huawei,236164,0.0726241753554672
Delhi,2018,Lenovo,297379,0.09337658209241062
Delhi,2018,Motorola,490071,0.1528973762509966
Delhi,2018,OnePlus,475337,0.14979710780727665
Delhi,2018,Oppo,1238022,0.37683147386435917
