State_Name,Year,District,Total_Count,Amount
Assam,2022,chirang district,2326559,5272168598.523823
Assam,2022,darrang district,6678937,13141014076.30873
Assam,2022,dhemaji district,2947324,6167137493.01035
Assam,2022,dhubri district,8020649,17729352844.884895
Assam,2022,dibrugarh district,9291926,16621846451.923239
Assam,2022,dima hasao district,1056667,2488039173.548872
Assam,2022,goalpara district,7485614,17953235881.612892
Assam,2022,golaghat district,3982932,7935432082.322119
Assam,2022,hailakandi district,4180616,8347203394.347139
Assam,2022,hojai district,3730140,7905357414.144517
Assam,2022,jorhat district,6717436,11011836095.60371
Assam,2022,kamrup district,9735569,19188827222.46069
Assam,2022,kamrup metropolitan district,155283490,284203334448.764
Assam,2022,karbi anglong district,3130857,7094611081.747295
Assam,2022,karimganj district,5096763,12680949904.176914
Assam,2022,kokrajhar district,3963142,8823713079.017555
Assam,2022,lakhimpur district,4180336,8175616570.518636
Assam,2022,majuli district,500316,855518628.0391995
Assam,2022,marigaon district,5612152,12902756104.051468
Assam,2022,nagaon district,11108665,25807521830.60402
Assam,2022,nalbari district,3033131,6478776161.370725
Assam,2022,sivasagar district,2895938,5351589316.802027
Assam,2022,sonitpur district,10804767,19246869386.358936
Assam,2022,south salmara mancachar district,2325228,6296119756.948075
Assam,2022,tinsukia district,5947438,12014803837.921417
Assam,2022,udalguri district,3191238,6051710146.714097
Assam,2022,west karbi anglong district,436429,865732286.7990905
Assam,2023,baksa district,7887448,15448755474.0
Assam,2023,barpeta district,31743738,58854695971.0
Assam,2023,biswanath district,5207393,7989785759.0
Assam,2023,bongaigaon district,12898464,23248422606.0
Assam,2023,cachar district,20372037,34540786539.0
Assam,2023,charaideo district,3170893,5230108396.0
Assam,2023,chirang district,4712233,8987301436.0
Assam,2023,darrang district,13655271,23234050887.0
Assam,2023,dhemaji district,5882998,9903215332.0
Assam,2023,dhubri district,18510098,33879413602.0
Assam,2023,dibrugarh district,13604233,18831793959.0
Assam,2023,dima hasao district,2238272,4343121997.0
Assam,2023,goalpara district,16411302,31484661417.0
Assam,2023,golaghat district,8175781,13041734461.0
Assam,2023,hailakandi district,7495728,12800049176.0
Assam,2023,hojai district,7957802,13337480634.0
Assam,2023,jorhat district,9112565,12020936447.0
Assam,2023,kamrup district,18262972,30490721953.0
Assam,2023,kamrup metropolitan district,83843382,107213501343.0
Assam,2023,karbi anglong district,5437300,10094806086.0
Assam,2023,karimganj district,11356471,23383713360.0
Assam,2023,kokrajhar district,8953556,16799382876.0
Assam,2023,lakhimpur district,9368422,14244016170.0
Assam,2023,majuli district,892323,1316620387.0
Assam,2023,marigaon district,12280925,22804631094.0
Assam,2023,nagaon district,24892452,46381855983.0
Assam,2023,nalbari district,6690363,12000338832.0
