State_Name,Year,District,Total_Count
Assam,2018,hailakandi district,43611
Assam,2018,hojai district,52643
Assam,2018,jorhat district,113359
Assam,2018,kamrup district,116901
Assam,2018,kamrup metropolitan district,590369
Assam,2018,karbi anglong district,43060
Assam,2018,karimganj district,59535
Assam,2018,kokrajhar district,46527
Assam,2018,lakhimpur district,64452
Assam,2018,majuli district,9822
Assam,2018,marigaon district,55862
Assam,2018,nagaon district,144113
Assam,2018,nalbari district,53366
Assam,2018,sivasagar district,61530
Assam,2018,sonitpur district,137612
Assam,2018,south salmara mancachar district,17689
Assam,2018,tinsukia district,115392
Assam,2018,udalguri district,39309
Assam,2018,west karbi anglong district,7217
Assam,2019,baksa district,130775
Assam,2019,barpeta district,343522
Assam,2019,biswanath district,98625
Assam,2019,bongaigaon district,151436
Assam,2019,cachar district,327712
Assam,2019,charaideo district,77278
Assam,2019,chirang district,61156
Assam,2019,darrang district,135690
Assam,2019,dhemaji district,125077
Assam,2019,dhubri district,183924
Assam,2019,dibrugarh district,314641
Assam,2019,dima hasao district,41881
Assam,2019,goalpara district,165468
Assam,2019,golaghat district,180444
Assam,2019,hailakandi district,105951
Assam,2019,hojai district,120999
Assam,2019,jorhat district,239974
Assam,2019,kamrup district,280576
Assam,2019,kamrup metropolitan district,1268680
Assam,2019,karbi anglong district,103121
Assam,2019,karimganj district,153177
Assam,2019,kokrajhar district,106494
Assam,2019,lakhimpur district,162530
Assam,2019,majuli district,25451
Assam,2019,marigaon district,155003
Assam,2019,nagaon district,360917
Assam,2019,nalbari district,128436
Assam,2019,sivasagar district,144210
Assam,2019,sonitpur district,313527
Assam,2019,south salmara mancachar district,45890
Assam,2019,tinsukia district,257599
Assam,2019,udalguri district,101489
Assam,2019,west karbi anglong district,20303
Assam,2020,baksa district,234322
Assam,2020,barpeta district,566318
Assam,2020,biswanath district,168039
Assam,2020,bongaigaon district,254884
Assam,2020,cachar district,543209
Assam,2020,charaideo district,129268
Assam,2020,chirang district,111101
Assam,2020,darrang district,225119
Assam,2020,dhemaji district,216595
Assam,2020,dhubri district,317277
Assam,2020,dibrugarh district,507031
Assam,2020,dima hasao district,75235
Assam,2020,goalpara district,283043
Assam,2020,golaghat district,311989
Assam,2020,hailakandi district,179852
Assam,2020,hojai district,204287
Assam,2020,jorhat district,377229
Assam,2020,kamrup district,470708
Assam,2020,kamrup metropolitan district,1914897
Assam,2020,karbi anglong district,179753
Assam,2020,karimganj district,276250
Assam,2020,kokrajhar district,187101
Assam,2020,lakhimpur district,280309
Assam,2020,majuli district,42973
Assam,2020,marigaon district,283082
Assam,2020,nagaon district,635307
Assam,2020,nalbari district,217625
Assam,2020,sivasagar district,242240
Assam,2020,sonitpur district,507287
Assam,2020,south salmara mancachar district,86157
Assam,2020,tinsukia district,425933
Assam,2020,udalguri district,179625
Assam,2020,west karbi anglong district,38940
Assam,2021,baksa district,338694
